,hash,date,files,deletions,insertions,lines,is_reverted,changes_in_30_days
230,79019aece234fece8b6b713c107fadc25a525ad7,2023-04-25 04:18:19+00:00,6,55,35,90,0,73
235,aec463284e144a3f07bd21087e7899ddd6861b48,2023-04-25 06:58:09+00:00,1,2,8,10,0,19
236,0eb14fd0ad61c0c70aafd8ab70094b3fd18b3a39,2023-04-25 08:03:27+00:00,1,1,40,41,0,20
237,711e076fcd7d01ec5c5c061dc321a3bae5a0066f,2023-04-25 09:14:03+00:00,2,47,46,93,0,20
238,a613d8fe8396eed60132553fd2ca8677b8d3c9bf,2023-04-25 10:57:39+00:00,2,0,24,24,0,1
239,68bec4a755cb926d4e39f8dd58290768b4e37500,2023-04-25 10:58:37+00:00,3,1,33,34,0,1
240,27147189c8457b5570dfbe6958764e53a56facc0,2023-04-25 11:10:22+00:00,1,0,16,16,0,1
245,b757d5efeeecd98f1f231676aabd389d399f692f,2023-04-26 06:37:43+00:00,1,1,1,2,0,0
247,26dcd4a7e3529018fc74c385dfd312ba4ac4018c,2023-04-26 07:24:46+00:00,2,4,12,16,0,17
248,286a6f90b0b3c0aa76ca42c28cb57e8de5ab6870,2023-04-26 08:28:12+00:00,1,0,8,8,0,1
250,64fed15aa010bc02fc6f6ad5eb4ec67b7bd6d768,2023-04-26 10:50:25+00:00,3,5,0,5,0,2
253,763c58c9283078ac12f81271b9a76c4081898861,2023-04-27 04:53:53+00:00,1,0,8,8,0,1
255,a44cd52c5523b730609a4249119b4815d11320d9,2023-04-27 12:38:10+00:00,7,43,137,180,0,117
259,8cda255a6ffb3bd26b95c270b52fdf822807a31d,2023-04-28 03:43:21+00:00,3,6,39,45,0,0
261,4c06584bf5fb2fe2d69c1ad86790ac1bb9e9cff6,2023-04-28 04:03:47+00:00,1,5,0,5,0,0
262,09413fdd4162a1341eda6094172f05d4bd03e3b6,2023-04-28 04:53:47+00:00,2,24,25,49,0,9
