Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
274,09413fdd4162a1341eda6094172f05d4bd03e3b6,2023-04-28 04:53:47+00:00,2,24,25,49,False
275,5a56ed57cdaba16f357ba2c8d67735ad84822480,2023-04-28 05:10:23+00:00,1,2,5,7,False
276,34d22832143b06e36286ab637942eb983dbfb75c,2023-04-28 05:13:24+00:00,4,0,32,32,False
277,3e5007057527783d47ede5c0102ea61da702323d,2023-04-28 05:33:23+00:00,1,7,7,14,False
278,3d39a50170ce0ee989f7ba08afc58abf0184cc26,2023-04-28 06:52:14+00:00,1,0,8,8,False
279,c87f14ca8119d6ad14d0abc2be64fa89a58d561e,2023-04-28 08:44:10+00:00,1,4,5,9,False
282,c17e941ac4dd3277ef5bab0f3924b7d4d358d279,2023-04-28 14:17:36+00:00,1,1,5,6,False
284,c8281cdad0f8721a21db975bfbccb4ff4bdd31ae,2023-04-29 02:02:40+00:00,5,45,25,70,False
286,f496d39514256c3ddcf2fe711c2a31b53549f94a,2023-04-29 13:58:38+00:00,2,2,2,4,False
287,f1f02fd0cfedb82cfe92b9e0ae68d990c5cef034,2023-04-29 15:41:51+00:00,2,3,10,13,False
288,1ebbb2e5eddfcbc397429e7db75b0caec1a61244,2023-04-30 03:42:33+00:00,3,0,41,41,False
290,39fcf6b10839b05aa0be3ab7ee8f7015173b5113,2023-04-30 09:07:49+00:00,3,4,12,16,False
292,9bee15cad7b57997c75b5236c6a0c6f6a612fa67,2023-05-02 01:50:42+00:00,2,0,6,6,False
293,9d639e6e5d664970c8c960711ee950ad046c9d82,2023-05-02 01:51:04+00:00,4,16,26,42,False
296,8660607be857b461bd0d251d21ccd5a080a62405,2023-05-02 03:14:23+00:00,1,0,8,8,False
297,5778cb7a18f8c913f06553a42da325a0108d54a4,2023-05-02 03:15:45+00:00,1,11,13,24,False
298,9b3c829e2c429b87e119d139b3494eb3318f4c3a,2023-05-02 03:16:48+00:00,3,2,102,104,False
299,45caa97e92882d0bba05b03f80b311f83b4b1a6f,2023-05-02 03:18:33+00:00,1,1,1,2,False
301,57f93ae114c845fe11cd46681ca57b2bf56cf549,2023-05-02 03:27:20+00:00,1,2,11,13,False
302,05c93da9f6f3aeb099fc72d9a69c32ea5ccd5351,2023-05-02 04:10:40+00:00,7,21,21,42,False
305,8ca3e1b3fa6a4da14dfbc54fec4d8b1cff607914,2023-05-02 05:42:08+00:00,3,16,3,19,False
307,4dd7eb54820f79c73d9dee8a4d61dc14a6ee9db2,2023-05-02 06:27:45+00:00,1,0,9,9,False
308,798d9f891ec11067a17a5fdbaf5f7e926a7bf5f0,2023-05-02 09:50:42+00:00,2,8,8,16,False
310,7975d3ee1096450cd968787c202289c5802c44d2,2023-05-03 02:27:15+00:00,5,12,18,30,False
314,1ca9376d14512ed4d0659de3103641e091b6dc72,2023-05-03 06:04:22+00:00,5,9,23,32,False
317,ad097847bb45efe83ea36a3ce4edd8ed25b9ca10,2023-05-04 03:30:40+00:00,6,60,84,144,False
319,c8bc8b3efccc56e789a8aebfcda7fd0e9c7985fc,2023-05-04 05:19:52+00:00,2,4,20,24,False
326,5414d71980025d13d228a32d8d55df10849ac1b0,2023-05-04 15:48:21+00:00,1,2,2,4,False
327,e816be84f67264b801aacc34ebb4ee955fbe28d6,2023-05-05 02:35:35+00:00,5,4,51,55,False
329,e367ce8204f29e30981430c14038724fdf3213e2,2023-05-05 02:49:51+00:00,1,1,1,2,False
333,98ad23f4652ae29e256d0b0f9c7c511657fa0c60,2023-05-05 07:27:48+00:00,1,0,8,8,False
334,d679febae3d08494a8dd420933f163856e75df10,2023-05-05 07:58:32+00:00,1,0,1,1,False
336,e154d314b7385b197c8dbcfddb6d0678442dac00,2023-05-05 09:52:09+00:00,1,11,27,38,False
338,5cd1fb4555f74fa1442131cc29619c61deb02385,2023-05-05 14:25:26+00:00,1,1,1,2,False
344,365fad5bec888b3be9301276f2d8132b5aab7cc2,2023-05-07 14:24:47+00:00,1,1,5,6,False
348,468d5f1ebcb6c4d2cf822b5eee0a9c04e07cda13,2023-05-08 04:54:18+00:00,3,6,9,15,False
353,0903c56350319d11472b4340b676d82a3ce0cc15,2023-05-08 06:45:46+00:00,5,5,4,9,False
359,d0c44bd629d30f09381eac34143ebbb9f251b4a2,2023-05-08 12:29:18+00:00,1,11,11,22,False
366,4c3be071c12f0465a0bf07648179cddc142d836e,2023-05-09 07:13:53+00:00,3,8,29,37,False
370,dddbdffe46d089c91665ee9b58b1fb83204037eb,2023-05-09 14:59:06+00:00,2,5,8,13,False
