hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
1407688f836d5a00f3083725f8ed4df3b0ecbec7,1.2,1.2,0.0,0.0,5,5
e8aa41a627971cddecefb6a901b784000bb71500,1.5,1.4285714285714286,-0.0714285714285714,-0.0008305647840531557,14,14
cabdb50933cccffebda2aac85ef7cfbc68657097,1.0,1.0,0.0,0.0,1,1
1dd015acac82db62427f4b9ca38c3d072e89ace0,1.0,1.0,0.0,0.0,1,1
96b6ad0eabc5bc9ddb84b7dd3ee4e080c103f4f4,1.0,1.0,0.0,0.0,1,1
1411fd501aea87392c98b7dd364c1f1b0cdc7a07,2.6666666666666665,2.6666666666666665,0.0,0.0,24,24
a2e7bf5f8a7eaa8f4099541f0a01680ee6357b11,1.0,1.0,0.0,0.0,1,1
b17c14d932f8e16880dab726e93717d6c180db27,3.0,3.0,0.0,0.0,4,4
8225cf7db0aa93e0e6c94e4c4af36fb6ea63219f,1.0,1.0,0.0,0.0,2,2
ca8118ca09d6cbdcbc69d04546af796eb7ec532e,2.0,2.1,0.10000000000000009,0.0007633587786259548,10,10
a80adeabe9e1e43c7c61bf2a8ac0fd56d2499493,3.0,2.75,-0.25,-0.015625,3,4
e0f8bc9dbd3c01a30e195a7f772ee22436f9ee42,2.0,2.75,0.75,0.04411764705882353,4,4
7a32057913e165792580464ccdcb0559acfacb9f,1.6363636363636365,1.6363636363636365,0.0,0.0,11,11
ce30e38988bd3b582ec046eb384acc940a1ff4b3,1.5517241379310345,1.75,0.19827586206896552,0.00354064039408867,29,20
ee8d833c65fe4b2e67d008d95e6cb10ac3cb20ea,1.9333333333333333,1.9333333333333333,0.0,0.0,15,15
680ceacd2595e0a68823e3b731f54ed48c8ad8e9,1.0,1.0,0.0,0.0,1,1
564e386d01ba77ed2c2c4329a796ab34eaf6a1b8,2.0,2.0,0.0,0.0,3,3
07523ae5d3cccd4e2af76efbbff693850dcc30f9,2.0,1.6666666666666667,-0.33333333333333326,-0.0023148148148148143,3,3
6a9a7f4fa103324793bf7be48d897bb50dbc4e89,1.3333333333333333,1.3333333333333333,0.0,0.0,3,3
f60f265e0179c1c604090d6381e13680b21d1174,1.3333333333333333,1.3333333333333333,0.0,0.0,3,3
66298e82d970f480695905101ba75289402511df,2.4285714285714284,2.4285714285714284,0.0,0.0,14,14
e6a741dc508774f52418694346fb941881f2aa7d,2.0,2.5,0.5,0.05,2,2
9f0a9a4690edc665bd73e1e4fb91b41c4abff64a,1.0,1.0,0.0,0.0,1,1
b3315de9684ceef6b0196aea41432c371f8d5b5e,3.6666666666666665,3.5,-0.16666666666666652,-0.020833333333333315,12,12
5bdf4cf389c86a202de7c8812ffb74e1701ea6ba,4.6,4.6,0.0,0.0,15,15
8c68314770307a7d1a9c657716f02bd7a2985738,1.5,1.5,0.0,0.0,2,2
914c5c2f71a924748ac59bcc9698acafb9cfca23,2.0,2.25,0.25,0.003048780487804878,8,8
6a59501b1a1ff022cbe631b42030ee65ad44d416,1.0,1.0,0.0,0.0,1,1
893eee10c5cdce14ee0b3d94be963f70ced34892,1.0,1.0,0.0,0.0,2,2
c61cad8f0274a20c2a6f4141bb8761da586a0f2f,3.090909090909091,3.090909090909091,0.0,0.0,11,11
2fe09cfbaee41e4f57a6a74cb514488746b88314,1.0,1.0,0.0,0.0,4,4
2083a8d0d4db60ad4f5ed7bcb1ec47a5340e0969,0.0,8.0,8.0,0.36363636363636365,0,1
01120823876d939957c40f73f229fe90dde3ca84,2.6,2.65,0.04999999999999982,0.0038461538461538325,20,20
b50179ceea4243b20a18f4f757585429b4f9a27d,2.8,2.9,0.10000000000000009,0.01666666666666668,10,10
0ae20f8bcbb84c1338cd9037db2d41373d0364e1,3.2,3.24,0.040000000000000036,0.003333333333333336,25,25
792f9f5cecf8a02a2eec7d1abce81dd77e0ecade,2.125,2.125,0.0,0.0,32,32
a7e5c2b348f1e2145cbb57b40467c11c1ee19f9f,3.176470588235294,3.142857142857143,-0.03361344537815114,-0.001680672268907557,34,35
d0b8b1374a4548e6091475863338470782ec7461,1.3333333333333333,1.3333333333333333,0.0,0.0,3,3
03755b2c43fa1cf31dd448c78151ec958941394a,2.5,2.1025641025641026,-0.39743589743589736,-0.00651534258091635,40,39
86474b59e980d52e75fc921c0cc47aac19878b5f,2.4054054054054053,2.3157894736842106,-0.08961593172119464,-0.0014454182535676556,37,38
6a5b6f3f50606651b39bce111f80d264f69050ff,1.0,1.0,0.0,0.0,2,2
d317af5cd0055dae3139902426f62c064fc2fb5e,1.0,1.0,0.0,0.0,4,4
d2f23c9b333cd3c6792ef2d2640a6dab49ff2fcc,1.0,1.0,0.0,0.0,3,3
438f7820ebdde4381cbc0a9c0b0eac73e500f19d,1.0,1.0,0.0,0.0,1,1
7c19bd9e8bf34bea9457fa97583b4e5854246419,2.4375,2.5625,0.125,0.003125,16,16
49779797eabfe0e3097ce9039782771d7f6d3580,1.3,1.3,0.0,0.0,10,10
47f659c8608623383add3308154c18d96152a962,1.0,1.0,0.0,0.0,1,1
8461173641b8deaf6765ee35069e9533031aeaef,1.0,1.0,0.0,0.0,2,2
cbe65530b6b606100c047d10767f564635c8ef70,1.0,1.0,0.0,0.0,1,1
b8aefffc31ed3e168d0572c935d6cea14460af01,5.0,5.8,0.7999999999999998,0.008163265306122448,10,10
f1ec1b373b5fe6fa98aa490fe8fb930b3d55f2ec,1.0,1.0,0.0,0.0,2,2
febb23d8c01efd5cacaa5cccc31606c55d4b78e2,0.0,1.0,1.0,0.041666666666666664,0,1
f459244f853b378fd8a7243c8ceb185147c1308c,1.7777777777777777,1.7222222222222223,-0.05555555555555536,-0.01851851851851845,18,18
07aff68dca5a8455856d7170dc64138c0360ade9,1.8181818181818181,1.8181818181818181,0.0,0.0,11,11
8c0cdd716f9454faa679ea2cb515160fa0d0e487,1.7777777777777777,1.8,0.022222222222222365,0.0027777777777777957,45,45
7c3f8ebc2a62def666a55a54cc8499d245b5d099,0.0,1.5,1.5,0.016666666666666666,0,2
