hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
6d530b138993cfe04162a5900d957618f35a79b5,2023-04-20 02:14:07+00:00,1,1,1,2,0,False,4,0.0
e66836a743442243ee5e8d6cee05bd5ba3de8d43,2023-04-20 02:27:23+00:00,1,2,4,6,0,False,7,0.0
d9362a3b05337a48d450bdcbe23f872bd4101f1f,2023-04-20 02:31:16+00:00,3,13,1,14,0,False,0,0.0
07af907826e49f6cc0a2c060aa798f083dfe1657,2023-04-20 02:47:45+00:00,1,13,17,30,0,False,33,13.07
a532d0158d51ea59ac0025d73dfe9eef536bb4c0,2023-04-20 08:00:57+00:00,2,2,13,15,0,False,3,0.0
d4d824f3df46ccb1a6812fd06d8f6813f52615dd,2023-04-20 08:49:11+00:00,2,3,11,14,0,False,1,0.0
f6263e19f73711e657e924cd9af9b3b29c081ec5,2023-04-20 23:49:21+00:00,1,15,15,30,0,False,0,0.0
4b5be49cc138cd86f116448cd4c41c7912a50952,2023-04-21 04:11:24+00:00,2,151,151,302,0,False,0,0.0
b3facb82d331daab613e07851fe6e2739432b6d6,2023-04-21 06:10:35+00:00,1,5,9,14,0,False,1,0.0
ff8111e5abb8f0bf1372bc88b59fc434f8e14121,2023-04-21 07:41:52+00:00,1,3,7,10,0,False,5,0.0
d30831c259dd0022bab47ade7ec35b3b01a33133,2023-04-21 08:39:10+00:00,6,4,138,142,0,False,1,0.0
d39712b98ee2cfb08dc13d930f836547b838a901,2023-04-21 11:16:31+00:00,1,4,13,17,0,False,40,0.0
98a6dbe1cd45728a104effa5c0d00ceb56fa2ace,2023-04-21 14:37:38+00:00,6,150,41,191,0,False,73,12.86
69346d02d5fafd2c05d37f54c4b7789d92863218,2023-04-23 04:04:12+00:00,3,8,4,12,0,False,10,0.0
91e4c2b0683f21bcac04cd5d9a2f957dc3977419,2023-04-24 02:30:05+00:00,6,106,297,403,0,False,42,5.61
226120b308d05e8bc325d943ef6d2df6ee3088dd,2023-04-24 02:30:14+00:00,1,2,0,2,0,False,1,0.0
d655adcc6567ad3a294079274ddc28eaa5ec2e19,2023-04-24 02:30:40+00:00,3,3,3,6,0,False,26,0.0
35bbbfaf7ecddf625f4ab120b6066168024237b9,2023-04-24 04:33:53+00:00,2,153,153,306,0,False,0,0.0
752517612c96dd84aa7d7e467de798c177fafa38,2023-04-24 04:35:02+00:00,2,112,112,224,0,False,0,0.0
176d124757467b9c267a855c855ec0cdf527c9ca,2023-04-24 06:11:25+00:00,1,0,9,9,0,False,2,0.0
a24f4aab624eff996b338ea2f33111d3a7f1862f,2023-04-25 04:04:21+00:00,3,7,19,26,0,False,13,0.0
635b5db6033ae4b8fe1b8ac3da5289611765d1ae,2023-04-25 04:04:36+00:00,3,6,7,13,0,False,0,0.0
9be6f57d710bcf7e660e8b3e162a68345809e4d5,2023-04-25 05:19:13+00:00,6,35,55,90,0,False,72,1.97
b7863b4af0bf07be4644f894b660497342db2a42,2023-04-25 05:27:15+00:00,2,151,151,302,0,False,0,0.0
ec56bab15b1d0af1b9e0d60a8d328fef06eebf6d,2023-04-25 05:28:42+00:00,2,112,112,224,0,False,0,0.0
5bd8b3b3540ae06672593fd840f4afa79c979755,2023-04-25 06:00:42+00:00,6,62,36,98,0,False,73,0.0
d8d7f19b9ad5a8af3da00a3ba6904fb30bec6d59,2023-04-25 11:25:24+00:00,2,0,26,26,0,False,3,0.0
