Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
679,0972af80e630cf0ab8fa812f108bc4e89c2fa71d,2023-06-27 14:11:01+00:00,19,115,242,357,0,False,139,0.0
680,b2dac0656af592f085b58d3d7def3cc4534fbe69,2023-06-27 15:57:11+00:00,64,345,2167,2512,0,False,363,0.0
683,2f52a3a2c8f78d0858c93a4b6a13655a15fd7691,2023-06-28 03:30:17+00:00,28,112,644,756,0,False,0,0.0
687,5c2d3bab831b923a6a877a2071bd180bcb307cbf,2023-06-28 09:48:03+00:00,28,28,28,56,0,False,0,0.0
695,c1238a8ed714ec88f63b19840d3ee27a22680946,2023-06-29 02:49:56+00:00,7,541,541,1082,0,False,0,0.0
702,1634d848ddf0da7e9a94228b3dceba845bd7bfa8,2023-06-29 14:33:53+00:00,23,57,155,212,0,False,108,0.0
703,5d7f7670470784235cca04ad0b7b23ad8f84704f,2023-06-29 14:56:17+00:00,14,1,432,433,0,False,6,0.0
712,53fe136090a4fa4a7472d95f12ab2671e3d44558,2023-07-01 01:33:30+00:00,28,915,1111,2026,0,False,0,0.0
718,9ba9b51a3b8f45fbfd75c92012528338f86629aa,2023-07-03 03:06:49+00:00,13,1233,1233,2466,0,False,0,0.0
722,0ed8850f2bf9ebb812e538375d73a2b44aad7279,2023-07-03 09:17:07+00:00,4,367,367,734,0,False,0,0.0
724,1837548fe8b23ef91f92922bcef5f88f07bf427a,2023-07-03 09:35:28+00:00,14,133,146,279,0,False,0,0.0
731,48db7196083e73cf01da600c6ef7394cdc4fd491,2023-07-03 23:52:28+00:00,8,673,673,1346,0,False,0,0.0
733,62e29f5bda27609b5f1b2972397e5662aa0eeab6,2023-07-04 02:54:29+00:00,23,17,97,114,0,False,0,0.0
737,477ed49cd652aed42284dae0acf7d13ee9426554,2023-07-04 07:29:06+00:00,15,73,63,136,0,False,108,5.38
749,c561e17732b1244fd72d2f233bc9321fc6c6bec3,2023-07-05 23:41:25+00:00,4,777,777,1554,0,False,0,0.0
753,88a64fea64b4bb1e71f14505a94d658893b61cc7,2023-07-06 03:13:48+00:00,2,344,149,493,0,False,30,0.0
754,e4293b5aa018fd4e1652c0dc71ea8f03009af6b5,2023-07-06 04:44:49+00:00,28,85,169,254,0,False,0,0.0
760,5706947596b3c2ad7818b56351a2ed0e049b1f8d,2023-07-07 07:30:24+00:00,1,424,113,537,0,False,0,0.0
770,f1013557ef8525503cf090b15bb11f6c2084b54a,2023-07-10 03:09:50+00:00,28,0,28,28,0,False,0,0.0
771,e8dd05243a20b9329cdb3b802dad75f680ca3d29,2023-07-10 03:15:01+00:00,58,1580,531,2111,0,False,117,4.23
775,09e7ead7722c704e6dcf95be534d997fdb7ea2c7,2023-07-10 07:08:11+00:00,16,113,366,479,0,False,75,0.0
779,f1d8fcadc89051aaf5a498bbdbdeac6fe72cea44,2023-07-10 10:39:24+00:00,20,173,5,178,0,False,0,0.0
790,f8c369fc9d2eff2bd8338b7a7fc7125cb5a2f4f2,2023-07-12 02:31:32+00:00,35,105,239,344,0,False,246,2.53
798,0cde2401bbb6a27bfa117eb242b2e238c50d4aa6,2023-07-13 05:12:03+00:00,23,18,109,127,0,False,0,0.0
804,2c681b7608d763d72ee3ba8444edde66f25bdb9a,2023-07-14 08:22:50+00:00,38,157,200,357,0,False,177,0.0
817,8bc75ae9f19c7d7c4c008f0cce535a65ba48f4f5,2023-07-19 03:56:47+00:00,28,471,499,970,0,False,0,0.0
819,31969397d312ec025f026e69da099e6040fb01bd,2023-07-19 07:25:38+00:00,14,1947,243,2190,0,False,12,0.0
847,699b38792a60ea8f2c1ec2041d08e514f28f595b,2023-07-25 04:04:08+00:00,21,15,88,103,0,False,0,0.0
853,1b085efafdb55e5777d778a0d530e47b1ca55a9c,2023-07-26 07:48:56+00:00,26,26,168,194,0,False,143,1.0
857,1b5050be34e5d629e647b440462cfdc3e94b0d54,2023-07-26 09:42:54+00:00,28,126,154,280,0,False,0,0.0
862,6357c7da874177bdd54fc18b66deadbdcaafc8bf,2023-07-27 02:38:52+00:00,23,97,124,221,0,False,199,0.0
865,77fc3406a04363d1fb9c8ee352134407ab76dd40,2023-07-27 11:30:48+00:00,14,30,35,65,0,False,18,1.19
866,9b2bdf5aae48a3e77bef59e22097f09866e5edd4,2023-07-27 12:49:11+00:00,23,19,114,133,0,False,0,0.0
873,6c238443452a0522b8b0609f60ed5d4f7a4438a0,2023-07-28 04:14:19+00:00,23,16,101,117,0,False,0,0.0
877,df44014da80584ee6786c5528b608b6e9590eb10,2023-07-28 07:20:12+00:00,28,65,177,242,0,False,0,0.0
882,e36c771786a969798365412f7caabfe107e6dde9,2023-07-29 03:59:04+00:00,23,32,32,64,0,False,0,0.0
898,1f068e9a3283f626f92d2624d7985a9ec274bf89,2023-07-31 12:38:32+00:00,32,184,1804,1988,0,False,261,4.25
908,b0aa515b5b5ab170ecc6dee87dc9008cf9c86916,2023-08-01 17:45:47+00:00,19,107,187,294,0,False,18,0.0
914,4b28f18d43e1c9fcf82b6b2b053e75e7c01be095,2023-08-02 07:31:46+00:00,17,3,75,78,0,False,31,1.67
948,e0a681bc68e0f1d1e82db6e48ca48ac5fd710d4e,2023-08-10 12:17:07+00:00,12,14,38,52,0,False,25,0.0
950,48a148c03955cf5907f1fce6550c052779b59bc3,2023-08-10 14:02:41+00:00,21,15,88,103,0,False,0,0.0
969,2cddc26e6f1adfc21385117beefb9d8a20fe258d,2023-08-14 03:03:16+00:00,29,200,119,319,0,False,232,0.73
980,df45d0f8a5d5c33cdd0486913d2012abaa82bf02,2023-08-15 10:54:34+00:00,27,524,1786,2310,0,False,60,5.17
990,14371155a813bfb5e96e680b2e174cbcab8c186f,2023-08-16 04:28:02+00:00,19,3,98,101,0,False,36,2.92
992,9e44337a12aa6fe165beeaf6594a523d0bfd9f0f,2023-08-16 23:17:11+00:00,28,884,2116,3000,0,False,0,0.0
1004,358994e9664f010044930dd69699b947cbb07f4a,2023-08-17 09:22:30+00:00,26,235,328,563,0,False,91,0.0
1006,9b4781d125cfe430a56cd56c757ee54e6619d538,2023-08-17 10:49:51+00:00,26,327,234,561,0,False,93,0.0
1008,30bf85800e85f3801e0fc9f1f57d6d2e2d0c8876,2023-08-17 13:15:40+00:00,26,239,334,573,0,False,91,0.0
1031,1fdd3cc57bdb16cc5997925debba88f1fb79c74f,2023-08-21 03:16:45+00:00,38,492,576,1068,0,False,138,2.21
1041,2b64f5706153aa2e2f59e6cbf1a8b8036ea56e53,2023-08-23 01:51:45+00:00,28,82,278,360,0,False,0,0.0
1047,a52107dfda58e3bfbf24040d5c6a2ca96f3deecd,2023-08-23 09:15:52+00:00,26,32,94,126,0,False,0,0.0
1051,2bb3c67440b90ba855cbf9e3925a390304e01383,2023-08-24 06:51:00+00:00,27,89,116,205,0,False,0,0.0
1054,5e15c611eab231e71d9f118431d33d70f888f66d,2023-08-24 12:08:22+00:00,27,13,149,162,0,False,79,2.37
1056,e3983fd717d1ad3a9a8aa8547a092d7758d1d4b0,2023-08-24 12:29:42+00:00,23,20,118,138,0,False,0,0.0
1067,9235f97669193106d5680d80fbf1bfd440f9d2e8,2023-08-25 04:17:50+00:00,21,15,87,102,0,False,0,0.0
1082,3631e387435225cb516f308ac0069ac7f7481394,2023-08-28 03:58:22+00:00,13,45,53,98,0,False,65,0.0
1084,e004321d3a2213ebd81a27c517c4ed86048ea359,2023-08-28 09:26:02+00:00,28,62,203,265,0,False,0,0.0
1085,2db02f01bc93588051b6df4824031b984f4bf23c,2023-08-28 09:28:30+00:00,19,10,3315,3325,0,False,67,0.92
1096,be62f3b8019a0e63da46eb3f8ddf57fe1756c3af,2023-08-29 09:38:10+00:00,31,1457,497,1954,0,False,180,0.4
1100,9d0bdc9fc0d034b92fccc6383df334004887221e,2023-08-30 04:21:23+00:00,2,3121,9,3130,0,False,1,0.0
1102,0190606f529e1da4adbe02dd181c86d28199fe04,2023-08-30 04:25:02+00:00,10,741,741,1482,0,False,0,0.0
1105,b7c1f4337f0be39c54d8e26c0fdfbd7398de9aaa,2023-08-30 07:42:53+00:00,19,1,140,141,0,False,36,2.65
1109,a9aef99aa37077b68ac2bdde082406ad10eaedba,2023-08-31 03:50:06+00:00,14,686,686,1372,0,False,0,0.0
1111,6c0435deeed928ee0909f3273c37e19ea1529fa3,2023-08-31 03:53:20+00:00,8,599,18,617,0,False,33,0.0
1117,868f4d11ff1f6ecbdadda3bcfeab1cc6eb8581eb,2023-08-31 12:32:00+00:00,28,7,121,128,0,False,89,2.94
1118,de3438ce68f261619372b214517032b7c4d3157c,2023-08-31 12:48:41+00:00,23,20,117,137,0,False,0,0.0
