hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
df896a6d68db62cf7515a34ff793139e94b1e57a,2023-10-08 12:55:02+00:00,0,68,455,523,0,False,0,0.0
48fe20c53a4f1667498ccf6313f23b0775701b83,2023-10-08 13:24:20+00:00,4,126,95,221,0,False,7,18.37
e0a942abd9e51a0af49b8005da2760d35c9e5410,2023-10-08 13:24:46+00:00,0,126,95,221,0,False,0,0.0
6e8da8e67ab616626a23e2791635a047d9a980c8,2023-10-08 13:46:50+00:00,1,2,12,14,0,False,20,3.82
1ee9f584c49e0c8725911b1996dbe1b9ef296a97,2023-10-08 13:47:14+00:00,0,2,12,14,0,False,0,0.0
4dbac8ac0290a3e677a3d2cfb125f64566ddc016,2023-10-08 15:12:29+00:00,2,2,2,4,0,False,31,1.92
37c78975c0dd4641527c91498c0b367e553c30f5,2023-10-08 15:15:10+00:00,0,2,2,4,0,False,0,0.0
1e2cc0921c6c09a47087215c536b9bea52b28edc,2023-10-09 01:09:32+00:00,2,1,3,4,0,False,18,0.0
52d4fea80c3988a787b2420096f9ace41f3bfbf6,2023-10-09 01:10:24+00:00,0,1,3,4,0,False,0,0.0
8ee99c0537f3e1e9c1d32c5bf4e597575bcaa738,2023-10-09 01:14:52+00:00,1,0,4,4,0,False,11,0.0
edbe853e7a08f86f758d0159b2a11d2c24f1e07e,2023-10-09 01:15:14+00:00,0,0,4,4,0,False,0,0.0
546714fd281a30611427ab7b12986f643558f3f8,2023-10-09 01:30:39+00:00,319,441,223092,223533,0,False,5,5.38
83171bd606609715a79e7e1e0e973768cdf19f58,2023-10-09 01:31:27+00:00,0,441,223092,223533,0,False,0,0.0
6263e4e3fc196d0c88386d102d4bca34cff3e34d,2023-10-13 14:42:46+00:00,38,71802,71882,143684,0,False,0,0.0
fe5a2bf1899d661487e361baf715bd5ea429d57f,2023-10-13 14:47:17+00:00,0,71802,71882,143684,0,False,0,0.0
2839b23d6131cd7a0709233313a939b05e3e2fea,2023-10-15 13:10:11+00:00,3,4,6,10,0,False,8,5.59
3a24a402e6a79205e8a6c43002edd17560887dbd,2023-10-15 13:10:46+00:00,0,4,6,10,0,False,0,0.0
ce445a295972687250aff15cd9f25e30c8d3d5ac,2023-10-15 14:03:30+00:00,10,11,233,244,0,False,2,0.0
9b0ea19a0c3bb73f3327dacecb8c83c48faafa92,2023-10-15 14:04:54+00:00,0,11,233,244,0,False,0,0.0
10aa341d22e0622e0309032b4aff8d1c3531fee4,2023-10-15 14:20:27+00:00,5,12,14,26,0,False,12,0.0
d3842612108f697bed7e4fb203b40392c9d43baa,2023-10-20 11:52:17+00:00,1,2,17,19,0,False,11,0.0
86ac35a997db7c0b08a4abc0c120b5f1f9357976,2023-10-20 13:34:41+00:00,2,5,7,12,0,False,2,0.0
b1ba707d20102bacff4f0f683c12fce21f898f3a,2023-10-20 13:47:03+00:00,2,2,35,37,0,False,0,0.0
938426d261400a6b27c028a7dc961f8149b121f8,2023-10-20 13:47:56+00:00,0,9,59,68,0,False,0,0.0
5417d2f2bec3438de4291b84620c465a43dfcc9d,2023-11-11 08:57:44+00:00,9,1,299,300,0,False,20,6.93
47b8d929e04efdfc2a9968ab7ce17b5dfc4d1e3d,2023-11-11 09:09:37+00:00,2,31,228,259,0,False,0,0.0
38759872cdfca355acc3dacaf1a64981e8f88f31,2023-11-11 09:13:35+00:00,2,4,4,8,0,False,0,0.0
48c4d55c604d6e191b5e49396f298e48b67e7f28,2023-11-11 09:15:29+00:00,0,36,531,567,0,False,0,0.0
0427cc52253593a6cc933e5969d341f8b16d3c15,2023-11-11 15:32:47+00:00,4,9,271,280,0,False,17,8.86
d7ebb90570c0a43f4e6df2205a8bb49434b52d32,2023-11-11 15:38:25+00:00,2,0,2,2,0,False,0,0.0
2c1b181b947f0a2450680cd4f1494b17868ad203,2023-11-11 15:43:34+00:00,0,9,273,282,0,False,0,0.0
827322fff595905e78675c8e8fbdab654d10ea20,2023-11-11 16:10:42+00:00,10,4,20,24,0,False,51,8.05
6aaee2f164ef1d0d410646f12b41acc6ea0f61db,2023-11-11 16:11:08+00:00,2,5,48,53,0,False,22,0.0
20850f89bb83682bff47520ee50ca2692d4328bc,2023-11-11 16:12:41+00:00,0,9,68,77,0,False,0,0.0
7bc3a3004af24aaeddafe2cf84a05138f910c669,2023-11-18 11:41:06+00:00,1,9,38,47,0,False,6,0.0
d46345233a8dfda542850e3db81ab41d8313e413,2023-11-18 11:41:42+00:00,0,9,38,47,0,False,0,0.0
42a16552b9fdc568602187747c6b05d60469e428,2023-11-18 12:01:35+00:00,1,0,27,27,0,False,11,0.0
2772a6d2d0f7e7fdc4af4ba8f893e7ef8086da7f,2023-11-18 12:02:09+00:00,0,0,27,27,0,False,0,0.0
55152d6890b9cf4f99359d89c6033d83f4a773c3,2023-11-18 13:33:57+00:00,1,0,3,3,0,False,6,0.0
