programming_language,repo_name,commit_id,tool,hash,date,files,deletions,insertions,lines
TypeScript,pancakeswap/pancake-frontend,b9d919aeed2353789fc5bc52257d4e0c85ec4715,copilot-pr,b9d919aeed2353789fc5bc52257d4e0c85ec4715,2023-12-14 14:45:30+08:00,2,9,14,23
TypeScript,pancakeswap/pancake-frontend,fb014c1e9a45df237c05797312063a99a5135699,copilot-pr,fb014c1e9a45df237c05797312063a99a5135699,2023-12-14 12:52:47+08:00,2,2,2,4
TypeScript,pancakeswap/pancake-frontend,ef8ea2f5dafaa38a9fa1189d3674b97b0eab3a75,copilot-pr,ef8ea2f5dafaa38a9fa1189d3674b97b0eab3a75,2023-12-14 09:35:03+08:00,19,98,19,117
TypeScript,pancakeswap/pancake-frontend,41fd3c9cfe2a5d6c323fb430e1aa4dbcc95aac4e,copilot-pr,41fd3c9cfe2a5d6c323fb430e1aa4dbcc95aac4e,2023-12-13 16:01:18+00:00,3,17,55,72
TypeScript,pancakeswap/pancake-frontend,efced5032842ee5cec571860e9214a464d5e8d33,copilot-pr,efced5032842ee5cec571860e9214a464d5e8d33,2023-12-13 17:31:59+08:00,20,107,306,413
TypeScript,pancakeswap/pancake-frontend,f47866c568916644a9afd06cd3e2ab4f5158b00f,copilot-pr,f47866c568916644a9afd06cd3e2ab4f5158b00f,2023-12-12 13:21:04+00:00,4,13,24,37
TypeScript,pancakeswap/pancake-frontend,ada37cc08fb8c64fa2384ab03f156ab7319b0750,copilot-pr,ada37cc08fb8c64fa2384ab03f156ab7319b0750,2023-12-12 20:24:23+08:00,1,0,38,38
TypeScript,pancakeswap/pancake-frontend,fc673547c9708a4cad118776b859dbc9d72c3694,copilot-pr,fc673547c9708a4cad118776b859dbc9d72c3694,2023-12-12 18:53:49+08:00,2,1,17,18
TypeScript,pancakeswap/pancake-frontend,0ed519bc03143a861f3915bfab2808a09c8832a2,copilot-pr,0ed519bc03143a861f3915bfab2808a09c8832a2,2023-12-12 14:58:42+08:00,1,3,3,6
TypeScript,pancakeswap/pancake-frontend,be872b73c4c494ee64acb317632a915eb8c2fc80,copilot-pr,be872b73c4c494ee64acb317632a915eb8c2fc80,2023-12-12 14:50:06+08:00,1,3,11,14
TypeScript,pancakeswap/pancake-frontend,2276608c9424ccd2ce8b4ca97188eb14b3c1b6d4,copilot-pr,2276608c9424ccd2ce8b4ca97188eb14b3c1b6d4,2023-12-12 04:25:21+01:00,7,128,162,290
TypeScript,pancakeswap/pancake-frontend,7648f51dd94ea24948f60e4c5e97620cb592369b,copilot-pr,7648f51dd94ea24948f60e4c5e97620cb592369b,2023-12-12 11:14:53+08:00,1,2,2,4
TypeScript,pancakeswap/pancake-frontend,cf6ea6af47a46239ad74c9877864dc1483d1e970,copilot-pr,cf6ea6af47a46239ad74c9877864dc1483d1e970,2023-12-12 10:51:10+08:00,1,1,0,1
TypeScript,pancakeswap/pancake-frontend,567d230ee97995b516e175b379a01e0f70b5d062,copilot-pr,567d230ee97995b516e175b379a01e0f70b5d062,2023-12-08 20:32:00+08:00,19,41,206,247
TypeScript,pancakeswap/pancake-frontend,9a935d8cb873411dac7d94ab31ba5a1853fe3548,copilot-pr,9a935d8cb873411dac7d94ab31ba5a1853fe3548,2023-12-08 19:46:01+08:00,1,7,7,14
TypeScript,pancakeswap/pancake-frontend,7506094a8150d402323385c4e006a6f99ead102d,copilot-pr,7506094a8150d402323385c4e006a6f99ead102d,2023-12-08 17:54:05+08:00,8,158,266,424
TypeScript,pancakeswap/pancake-frontend,6e82f1c46ee60f3e66dfc94e0ad1ddc0429e5d44,copilot-pr,6e82f1c46ee60f3e66dfc94e0ad1ddc0429e5d44,2023-12-08 16:22:16+08:00,4,30,32,62
TypeScript,pancakeswap/pancake-frontend,f1211bf565e96728699143dbe5ac57368386b1b7,copilot-pr,f1211bf565e96728699143dbe5ac57368386b1b7,2023-12-08 15:52:43+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,6098ca93fbaaadf884a5f76134ab266176b719d1,copilot-pr,6098ca93fbaaadf884a5f76134ab266176b719d1,2023-12-08 12:58:11+08:00,1,4,6,10
TypeScript,pancakeswap/pancake-frontend,7b7fc8c800f684f24ea4061baa3fac701926df37,copilot-pr,7b7fc8c800f684f24ea4061baa3fac701926df37,2023-12-08 10:29:31+08:00,12,2,285,287
TypeScript,pancakeswap/pancake-frontend,409ef8a2cb7af8c4ba5742e85dfbe9706b9f9bef,copilot-pr,409ef8a2cb7af8c4ba5742e85dfbe9706b9f9bef,2023-12-07 09:36:07+07:00,5,41,63,104
TypeScript,pancakeswap/pancake-frontend,2ca2ed61f762a1d0b0f7e67ebd700ca75ba65f09,copilot-pr,2ca2ed61f762a1d0b0f7e67ebd700ca75ba65f09,2023-12-06 18:50:06+08:00,10,1,272,273
TypeScript,pancakeswap/pancake-frontend,362e64ef2d6a102175b587b0acc255d01488b666,copilot-pr,362e64ef2d6a102175b587b0acc255d01488b666,2023-12-06 18:19:25+08:00,3,0,20,20
TypeScript,pancakeswap/pancake-frontend,63806e64aaed327133233bae2c7062eb0d4d2645,copilot-pr,63806e64aaed327133233bae2c7062eb0d4d2645,2023-12-06 10:01:19+00:00,46,107,2999,3106
TypeScript,pancakeswap/pancake-frontend,3d1414eefc7de46a561c9fe3187c010ef303b378,copilot-pr,3d1414eefc7de46a561c9fe3187c010ef303b378,2023-12-05 03:46:46+01:00,3,23,59,82
TypeScript,pancakeswap/pancake-frontend,4e6c1ec9f593573c5a92df1655bd290216ca333c,copilot-pr,4e6c1ec9f593573c5a92df1655bd290216ca333c,2023-12-04 21:19:17+08:00,2,2,17,19
TypeScript,pancakeswap/pancake-frontend,ee44a0ec8f816f936d693d5058a7427a7de1bdc5,copilot-pr,ee44a0ec8f816f936d693d5058a7427a7de1bdc5,2023-12-04 20:29:08+08:00,1,9,9,18
TypeScript,pancakeswap/pancake-frontend,cd05c8ea62a9559b08aa1a7443a9c21bb4d39934,copilot-pr,cd05c8ea62a9559b08aa1a7443a9c21bb4d39934,2023-12-02 23:36:13+08:00,1,5,35,40
TypeScript,pancakeswap/pancake-frontend,363e4cfb113caf93bc09a75c02a73244fe93bac7,copilot-pr,363e4cfb113caf93bc09a75c02a73244fe93bac7,2023-12-01 17:31:01+08:00,2,60,177,237
TypeScript,pancakeswap/pancake-frontend,b51e6cbfa9ce18f7d23bbc6a0f1e65299e0dea44,copilot-pr,b51e6cbfa9ce18f7d23bbc6a0f1e65299e0dea44,2023-12-01 16:33:25+08:00,1,0,1,1
TypeScript,pancakeswap/pancake-frontend,e84e967d26c00f065d116c9679049b6300f0d53d,copilot-pr,e84e967d26c00f065d116c9679049b6300f0d53d,2023-12-01 11:38:21+08:00,48,508,1140,1648
TypeScript,pancakeswap/pancake-frontend,8c57b47a99d18ff0ef75b0b8623846a12db97ac3,copilot-pr,8c57b47a99d18ff0ef75b0b8623846a12db97ac3,2023-11-30 14:20:50+08:00,1,3,2,5
TypeScript,pancakeswap/pancake-frontend,cc75d613d0398a26725b7cb41b3584b04ab39ae7,copilot-pr,cc75d613d0398a26725b7cb41b3584b04ab39ae7,2023-11-30 14:19:37+08:00,1,5,12,17
TypeScript,pancakeswap/pancake-frontend,c80c7604f2b8cb9bfd97279a67a4608113ba0293,copilot-pr,c80c7604f2b8cb9bfd97279a67a4608113ba0293,2023-11-30 12:07:03+08:00,2,12,19,31
TypeScript,pancakeswap/pancake-frontend,d49876b0e8f86b89c665fdf2414881659a441d40,copilot-pr,d49876b0e8f86b89c665fdf2414881659a441d40,2023-11-29 21:26:14+08:00,1,6,15,21
TypeScript,pancakeswap/pancake-frontend,6e2a66674dbae9c5f9aa2c175572c278245b021e,copilot-pr,6e2a66674dbae9c5f9aa2c175572c278245b021e,2023-11-29 18:53:45+08:00,1,3,3,6
TypeScript,pancakeswap/pancake-frontend,761e8523e482c6a3fe4872001d597bb0e5d6bb4f,copilot-pr,761e8523e482c6a3fe4872001d597bb0e5d6bb4f,2023-11-29 18:24:38+08:00,5,47,74,121
TypeScript,pancakeswap/pancake-frontend,95c5fb6cd545c52ea0acc37c2f38cbe9b280ebe8,copilot-pr,95c5fb6cd545c52ea0acc37c2f38cbe9b280ebe8,2023-11-29 16:51:50+08:00,4,2,11,13
TypeScript,pancakeswap/pancake-frontend,789c8c59bf90de619220eaef07e2ae28c5419054,copilot-pr,789c8c59bf90de619220eaef07e2ae28c5419054,2023-11-29 15:39:50+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,856b15d72c2610cae537ea384a382179baa57904,copilot-pr,856b15d72c2610cae537ea384a382179baa57904,2023-11-29 12:20:42+08:00,2,0,66,66
TypeScript,pancakeswap/pancake-frontend,deb779d0f491023e7ec322d2e0befdceec4363af,copilot-pr,deb779d0f491023e7ec322d2e0befdceec4363af,2023-11-29 10:55:31+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,3ca5f4252f15f2f1adec4c3c3a08b87be67a2442,copilot-pr,3ca5f4252f15f2f1adec4c3c3a08b87be67a2442,2023-11-28 13:59:09+00:00,1,0,28,28
TypeScript,pancakeswap/pancake-frontend,2bb70e602c090a781c90da3b9436f6eab09a96b8,copilot-pr,2bb70e602c090a781c90da3b9436f6eab09a96b8,2023-11-28 17:46:45+08:00,3,0,24,24
TypeScript,pancakeswap/pancake-frontend,0832f28d87e649b52b32cfe874f2d28e010356f4,copilot-pr,0832f28d87e649b52b32cfe874f2d28e010356f4,2023-11-28 11:31:50+08:00,1,2,2,4
TypeScript,pancakeswap/pancake-frontend,42e4f4a7d77d9a4180f633c476e1e2dc2ae2527a,copilot-pr,42e4f4a7d77d9a4180f633c476e1e2dc2ae2527a,2023-11-27 19:35:07+08:00,1,71,90,161
TypeScript,pancakeswap/pancake-frontend,a016ea8ee0827e17e5cd6e2dcb03e09bf9c05cd3,copilot-pr,a016ea8ee0827e17e5cd6e2dcb03e09bf9c05cd3,2023-11-27 19:18:13+08:00,3,4,18,22
TypeScript,pancakeswap/pancake-frontend,9628212e8097a4d930987c31fea97bfcf2b7891d,copilot-pr,9628212e8097a4d930987c31fea97bfcf2b7891d,2023-11-27 09:28:26+01:00,1,19,28,47
TypeScript,pancakeswap/pancake-frontend,cd5c4d0ce40bd7ab9c6a74885ad94fee1fbd4e12,copilot-pr,cd5c4d0ce40bd7ab9c6a74885ad94fee1fbd4e12,2023-11-27 15:08:47+08:00,16,437,122,559
TypeScript,pancakeswap/pancake-frontend,eb2333554016211fd6debf8fc185556414715c37,copilot-pr,eb2333554016211fd6debf8fc185556414715c37,2023-11-27 14:50:37+08:00,2,9,10,19
TypeScript,pancakeswap/pancake-frontend,7916ba5fd5f70a95f7985e0dbc95da8eaa38a1dc,copilot-pr,7916ba5fd5f70a95f7985e0dbc95da8eaa38a1dc,2023-11-24 15:20:56+08:00,3,12,12,24
TypeScript,pancakeswap/pancake-frontend,2be330fd188434765f762a398fc1e9e0c90e73bb,copilot-pr,2be330fd188434765f762a398fc1e9e0c90e73bb,2023-11-24 11:48:40+08:00,3,13,25,38
TypeScript,pancakeswap/pancake-frontend,f627d6ece9bb7a4a10047fd7a8bed8ea108b72e1,copilot-pr,f627d6ece9bb7a4a10047fd7a8bed8ea108b72e1,2023-11-23 18:48:05+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,7248f90351b1517196e551cf4702d1ac59823d27,copilot-pr,7248f90351b1517196e551cf4702d1ac59823d27,2023-11-23 16:45:55+08:00,1,3,8,11
