hash,duplication_percentage
b4e554862a578815194e09b2d392f61fc87462a6,14.65
4422ba2b94529b47a37270c01ef8e09b5219a4ae,14.65
0ad7d624ea64bab3cfc2586f6020e5df432124d9,14.45
b9c835d66af0bfe85595e45fb3df172bf019ab53,14.45
98acf05c36691d4050f3ce9c5270c520a43449ee,14.44
3830870fcbe44c5f22ccc5b417358c422f871129,14.44
c9814f0ae01f720afb7d1285a4a8aec1a22ce9b2,14.44
2242e06590b8296cf0f3c2501187b2ff6b79702a,14.44
c720b97c50fdda776578ce88f36bb9b71532509d,14.44
2ab318ea0c7c85e87ef8c5e3d8d420d49cf4788f,14.44
c77cc951e1aa1c46ebd8b2187ca66b1b7abd0563,14.44
702dff9b238bfb8f9617f9141ac6399ab9a439b4,14.44
0c4d5c615c01e21db9e84b5c71ce0f3ab37d6428,14.43
e7aba487993c6caf5e74ce98bc277bb0a861036e,14.43
e394541317e1776dda09f4f712d25deb88d97c51,14.43
8e5db819c56ecd5714682ec86900f9188a083748,14.43
5ce1458b499851ef506a8e88e2955fdf36486fd3,14.43
30f2c81c7525b4b42fd099f81d22257f3ce09265,14.43
be70480dcb8a75388cf12f4a612af6667f7bf5ca,14.43
e8a1a97a388e57e94961f9a16c01abd3bc7a2494,14.43
705b3f2ffdeb90cb9cb4c715bc0dfacfbe41490c,14.43
81e970ed1117752bc9b2e13cb73654f77ae94779,14.43
b409cc11d669c88675e23e570dc1e0f6db7e99e1,14.68
b32ea2d3338dbb34bb716f346366082a459d619c,14.68
ce1ac8e5ca684c8e1008509917e57c81f2df69cf,14.68
f53cdf724e786563825bc540ea86914b08d0bc9c,14.68
da58a2316c0831f922c7e443dc84818739b4f419,14.68
db96d2febeac8617786000df93316e6a146a5730,14.68
007e6534d40b72c979bb542e99b4ab9f26386630,14.68
9a1f348493ab48de7574cfa03fae38d179b91921,14.68
4f45bcdf2122a8255caba2ca4fbe58eb278ba03e,14.69
b49042e69e88df492fdeaea8a26f18d362317e79,14.69
9f3bf4db262b124986c61084e9aab2adf8cbeaa8,14.69
3f4de3f1633a95e75f4d41327daea4f00af97491,14.69
1e4c16041bdebbc54c607749a1e98c5e267516ad,14.69
b9a33e2f5a0faf16c63fc3666b5176af6eb0f200,14.68
b5a1d0dfa62bcba6d9cf584d74c2d9f16f414e67,14.68
e395ec80e4324aac2007a5469626d006a315c5f8,14.68
db4e1dda5a4cbba729b9e85897cf66bf1542fadf,14.68
4806e35056b477af2de775c6fcebdcb4ff1ca98e,14.68
23d2d41591e8b8a62630008c192944df1a12d991,14.83
42fea9a1f175201cf423fbb762585744f7b80866,14.83
37c9a88edaf2fe01a0a1618378728f4b8a4572e5,14.82
c59af5558f0eae5fdd424581fc3998a4edd6feb8,14.82
319538ddd4f4254d631d97bc274a46b10375767e,14.82
e554555e9638ae015c8034a6b2697f4178cb654d,14.82
3ae73e4437a108b31162b9bfb753fbac76f28ba6,14.82
c2925dfd39340784057e7e56d18a775112d08884,14.72
e629f678501b0bcfeda4179205a5962fbc582ab7,14.72
44b950c218b2988dc431c635c95055f676ac1149,14.72
e697c6710e4b2be450e6d22e1fff91b196bf5324,14.72
0d04eddd0c4d26f339739b10457d1fe141d93fdd,14.72
1a4853cbdeb452ad7c43ede4af5254ffdab6a610,14.72
1fb963e810989bd76e409948a3b2a151d0f8d5c0,14.71
df027f02eaf22f3de324d75b8bcbf8256e477e3c,14.71
5df164d3f4892594fba4765d54990c7938e5c948,14.69
26b40b300edebcb37031148cc082673ff7036390,14.69
f2681f641acda7d38015dd100f0d2694d37bfd93,14.69
c3f6e76a6c3c8c535aa4ed6c0bed763bd3fb4f8d,14.68
7ba1a78b828ec9437d9e94b3f325ff4304639ece,14.68
e4f9dcd826b8252bc06e0ef30c75adcdbe42e286,14.68
02e306694b390edbe66a3895cb6420c117d8183a,14.68
50a969c7aae8508eca112fbdb13759248ab5ebe5,14.68
7e8986884b38809c02250df1b6f6ab78b08d4691,14.68
a0d59af420c0cf92c763256018735beec07e48d0,14.68
d9c0d381fc4f8e25381af36ab19cc6f84acd38bf,14.68
322dff957d51768cf29a9523f7a978f6b46b3eac,14.68
b4367da00cf155e9943efbe94761db0301ff4743,14.68
15336269971d12dde2f6291ffe1b6a70a1102716,14.68
9076d939d5219006d5b22a0def485b27328ecb9b,14.68
3066af386387b8d230a6141fb3eec5ada6c95b91,14.68
802c007370ca1d2623a7760810c7d487557bf02a,14.66
b65e2bcc1adad826c9c1945c367699c4e6411034,14.66
3ab7016c18a30a38e5b2efe9777fcf6d4d68191c,14.66
e21773470b9613cb35feb7f71c23da829d6108d9,14.66
6ff912e6b52b997b080d2488d6dad44c66a42602,14.66
f37f00689d3fe98ee7c96b224c9d63c42eeb4ff3,14.68
4d59e382822a776e50c033a7e9915465ed5a8a51,14.68
c523dc9705d8ce471e5448b5161641d6dedb85ff,14.68
6c033a7a075a6ba17c1b804f257de23ff7a9eba8,14.68
957524d9609c7be23abcab855171b0ed348f0f0e,14.68
f07cb6bda6b37e51febe873f5b41fdecb1624e33,14.68
057d65609c1fc60985a3f9fee9fa823f7a3a0890,14.68
5758a6abbe0d2dc7387f0e26d9e6900a03dae32c,14.68
bca73d4ff732aa620d1cc0c6f9f76b38a9beb256,14.71
faaef768bb6a43c932da47178dc6496445d7be08,14.71
a774cf88f5f7ca81d90fb1aa9d5a92d1cf0549ea,14.7
f75a21754bc41aa6706f87080d54a58669b4140c,14.7
5c3e9934dcc52a09ad3816b3930caec95175a49c,14.69
b0914b395baca2d4d33d1f3523817f12ac9240a5,14.69
a62adb4aa551f8ee0422f78f5f9f22d46d44dd2f,14.69
f9fda4ebe79d50742591bc016f01f591697f5467,14.69
55fbdf702f3ecd97a758e2daa4f32b33f458b446,14.69
f5b69ab31039f0d92e88de39255e25a96391cb35,14.69
a8cd04c6c923f4a7ccc482ef986b172f5f36a48a,14.69
75fce80417392e626cb9ccc1532852e84ec1ff2d,14.69
f2dfea2884690aafdc2eab74c92cf84a4bcc6c08,14.69
17219c69a50231628a885ba7db48a6f9bf1ed37b,14.69
f545fe3830413b7a6d761401d7b8a2b89819c6c1,14.69
8ba688ea79d785e14d44643fe9f9bd0c4c30020b,14.69
705b30957e79d9b898fb5332910fef05eac30351,14.69
4175aa2c6e11cd9825de3b6bf0f452d6dfe3fc93,14.69
c0602803f545b9ced947c498caf4fcef569269ff,14.7
b7719f0ddc5bac69673eb9d08d80f6805e8c4288,14.7
ba854f1dd4d8757b280c9b6f8a801bad138b34f7,14.7
dd5e751e69d7070e15dda52865241063a392cfef,14.7
6608850ab87a8fcf3441e66efcfb76b6e3a79f4a,14.7
929ace3374478421335fd7341d5912de5ab9eff0,14.7
a776d15a82c0d84c07b12934e29840c55d4c831b,14.7
625794d479fade25c0fd91f45dd9216edf0fad3e,14.7
21a4a369ce5926de17356c4328e2acca01a88524,14.7
20b3027bf3e87744fb8e5794db9b1217ce8a33f2,14.7
59d977ff8475d39afcf6e8cd26b2c1ce9c844630,14.7
0063480126aa9c5031960640e737a4dc9dc84aab,14.69
d2b4dc04b0174fa42f3652cdcbc6100d808d76ae,14.7
92ae060639ece310db6da1a182f0e2a82b2afc81,14.7
fca173de057179d7f4e6a68ced17994a065cb03b,14.69
9bf34741652c72de26b6a95d2d186fb3e6426ec8,14.69
e77b7beb7fbc3e1815f2fd0fdfa80b9d26a947bb,14.67
d09424836685e73cef4ba936c0e93437fd9eab86,14.67
49fae3d5b6c98e01b4c3cce3b4791b09f62b7845,14.67
6083173ac3e69183c5e9ed9231673cda0c2ce272,14.67
3ba496cb1f1305acb76b9c31d1fd034e7e11d311,14.67
f2f2bb132b4b99c07345e994b58f26e81f3e0e4f,14.66
f7bda7b11c305fa23ec1627e9c1627d58bd9cec5,14.66
ddead3b064b4379cfa47e092dd031bad444145df,14.66
6f1a739dc2b9b4ca3bf97fc4d06a94469710061e,14.66
9e62694435c3b367f7283b74084eb71f30ba3e4a,14.66
be1f27e77c6468a910600b53059d5d6e111d2566,14.66
fecee047baace0c9d97c785082f8e630042b3874,14.66
640c171aaad7956d38e0b9bfa431c96871e4b386,14.67
2e8aea1e97833e5ae780f5c166d87299637a8fd4,14.78
4236ee6baad77a19472e0ab46b7a51ee6d0ac023,14.78
8dfde8c3ab48ae2d44ee11e0c1118583b7a92cba,14.78
05655590c4afa5fdcffd6038ab38d2abea495474,14.78
e77d2636fadad3c8ec94b8f22f67620f67551b98,14.78
14bbd5c9a6b90da1736e1361ed91249a2abdfdf3,14.77
e5f56d353b69a3a234d5e0b926b44f8af74a6c82,14.77
ec742c5bbb1805cea049a6b943ce4790c8c83793,14.77
d2b6977d6731d96d50ffbe5b3f7c6d2abd2f9d65,14.77
d256a925a7dd3644cda77e09f5ebc8dc412cbb39,14.77
d456747e443d964043e2034b650b7b8275bbfa3c,14.77
324ad2f6304d4fbc333c340054275c1268e2aa4b,14.77
489e0b91becfb8e45c353cceb7da3096e42349e8,14.77
4eac8f1a2b7d2d857993b647b7ba8044ecf0ea72,14.77
38b13fd3c183851a02497330cec7efc0da2af091,14.77
675215ef5a35c0acca1e3ccddc23f6ca5cb0c0a5,14.77
5a2024f294f57820e85de0d61e6f07a17c048db0,14.77
6b8764b8d3920232f5f91d3636153272467f08df,14.77
09674f666becbbeb5bb630499354611287e0a0ba,14.77
410d33f7dc41ea71924fa18af60a8d215953b8a7,14.77
8e63e3095a9338b51f4db2b5225f0fccbc5480c9,14.77
0d92846fd0291b47e2e9ea4acf81cc4e17ceabfe,14.77
1845edd8c28c2728adb1a3f19e9e6a86237d36f8,14.77
a629fabbc2f4333b46c77ca2043e61ac7a145714,14.77
a36c61a940cf8525ee5d349ab5dfa46d32aef6d1,14.77
4b54f5963aec762062958f3b1c749ca3e358ddb5,14.77
40695ebdf9fa978ef6e2f5f040728693f0f7c45f,14.77
b8cd16e8aa18753c035682fd3a4bb7a8a1e59076,14.77
999af6e554eb13abb1badc060be6f42baf29b684,14.77
122ca0f18315ef792ee89320e1f4ea0bf488992f,14.77
c864158ea6181dc08cba2e4e07b653ba38ef175c,14.77
bbdca8187d06cc5b74cdc247bbb363470553785f,14.78
d8e8064f045689252ec8c64774b5a9bc0552c537,14.78
2620c1fd45a5a090212c7f1490d90e49c78a0dfb,14.78
fabaa0f8649e7eb3759e0b54c2c19bdcd07120c9,14.83
ddeeb40fdfb61537e4e180aa700372978566f01e,14.83
aefc5d8da4b65d081b693198f614ca252f1a7efd,14.83
9dfafa6a97d7430ff35c38599467aa818473fdbe,14.81
9c552d8fa70be879813dea043d18b221b4b31d17,14.81
aab06046836cb4445dbed5d8ccd0870296a0f704,14.82
628e055ce94ad64c50bcf17b0e9d8e731cd42cca,14.82
9c0c17fafd6cbfc5e1a32b9c08e84693de90adcc,14.81
4eae29340e11bc246c9b4f6851794a000ca93688,14.81
57ef43f85698e1ac22586741889ce5f294b10bee,14.79
ff95c9fa67eecf52e97259419897a7ce9e7ee0a3,14.79
f9b0ef848b373f19c07974d9c4d22fcf1acf6b5a,14.79
b8866e309c32733976c58006ce7130926014d121,14.79
d324c5063e166d3b2bb82e57a4982cda3a00f0e7,14.79
9b3feb4aa3364a56fc62b3eea6b382bdd416ead4,14.79
6d8c48c58cbbc23e76e68e25a94e03becddfcd77,14.77
99fea37417b5b9757246fd67442a02c31b6916ed,14.77
1820f620926c829625edd24f374801c9e4be9359,14.77
666f334e5f233e023110992b8afe837d2bf09beb,14.77
939fa6cd1ee555944727fb6fcd0a508b75a87e99,14.77
c98ef092902adff5c61424a61b619d0a5d0e2e43,14.77
06da0ce4e9287ecdcb32e88ccc1dbd9613a3cec9,14.77
8e934aaa2a20a2e0ae9ece19d6cfef1537fafec2,14.77
497420aa5b2461033a00b0791cb2797ba15d6457,14.76
bb65acef37bbc39b0267729c8612a90921b1554d,14.76
bb43870d8dbbbaa296e1487a18ce2dbd9b4ff637,14.76
d0f9b28a91459aa710349d6ae97c99aec153e317,14.76
86a1e5ae5f04d50a8032d0030af793bfdf7d1861,14.75
083e8d2ff31749ecdc213e612aea69589fe6f7cb,14.75
e038c719acf0781da98fa9201b0fb07255feea39,14.75
0c578d2b83e99b4888aabcb762ebb35e701b018b,14.75
69d24ff44aa236a7c96d06d4f2459dc0c646ceeb,14.75
e9ce9877cade07f10ccae73770fe83d22676b9b7,14.75
008282ba2a6dc4fb58bfd41944bdb514b2ee9334,14.76
f2b69f7f29c18f5362e2182a2c9e8713fb75a65c,14.76
16c563fef7df799d93793a082fa445e4c57c365f,14.76
136cf4e1f48be4011ec70e2169617a69dea11211,14.76
aff0c1d5ed8f5728c0b291a074420db8016caadd,14.76
eb914ef04c25b77a6cf6b9f7c3d49c7d32d37327,14.77
af49fc1d9457ba8a1390da3bf10d4ee8b2fe2098,14.76
0697d5636eedc31a01bdd81f621062140b80eaaa,14.74
b35307368a05936b8d09788b98c332367be525d1,14.74
a014b790732ba38731becadf19a3e3d7145a1659,14.74
ab0a0396d39361f8f4e86e81919fbba2c07ae505,14.74
18a3c0ac580151f66a56d34ce847fab46bce2758,14.74
65aac0269362f6ccb2d5ebc37683e2529c9ab1f9,14.74
3cfed3e414151d8489cafc2f936a14bf922a5bff,14.74
78f39dedca382fc1172a4435e8c40acbd8eb8fd8,14.74
73e977458ebd18ad2406c52f0218eb814926b671,14.73
54ab58186a1c5438b416b5d003f883ad87410185,14.73
6a1b011ae5f86ad11cad4e4bdb3cd172adde9cef,14.73
fc311081fe5907389d113b0f993e795dc46cdeef,14.75
fc1b9aac366cefd529fdc2aa613bf63ad1106ef1,14.75
d1de490f2902e36e155b46193698e0da2e2e9638,14.75
1e98371288da7a296b4713de5769199c71217db0,14.75
f22d266d9250f59e4ecd3ad0e7095f5f20666315,14.75
feba360563c388264bce72e8c891aa4dfb5f67f3,14.75
ead6e2e5b7ddd992d6506e5d7a9613366e46008c,14.75
d526c4ac52a9c0d246255c9fa44f94a6c3c2346b,14.78
ea10d60901c932fc36bafa11d1c890385f26f10d,14.78
31b19cc11b032ae541d408a32e535b3b02e9c885,14.78
0314a90e655ad5af4070e5ab07163e50bc5434ec,14.78
