programming_language,repo_name,commit_id,tool
TypeScript,pancakeswap/pancake-frontend,eb2333554016211fd6debf8fc185556414715c37,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7916ba5fd5f70a95f7985e0dbc95da8eaa38a1dc,copilot-pr
TypeScript,pancakeswap/pancake-frontend,2be330fd188434765f762a398fc1e9e0c90e73bb,copilot-pr
TypeScript,pancakeswap/pancake-frontend,f627d6ece9bb7a4a10047fd7a8bed8ea108b72e1,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7248f90351b1517196e551cf4702d1ac59823d27,copilot-pr
TypeScript,pancakeswap/pancake-frontend,6316573298a9ed8e0cf8e5b340d0344150e253df,copilot-pr
TypeScript,pancakeswap/pancake-frontend,6cb13a807965e0be3ffbf015ad6d4494d0937cee,copilot-pr
TypeScript,pancakeswap/pancake-frontend,6e64063aaf3a4d3bf3aeb5fcc4c486569b6c474e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,adad7799f0f26fd117394a14b034a26930e92cb8,copilot-pr
TypeScript,pancakeswap/pancake-frontend,74cc397d320ef07c572b4c81b7fe1a05c24feb56,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ebb4f7b1ee69d83fd3bfeee5b6bd7f9084d3f9d7,copilot-pr
TypeScript,pancakeswap/pancake-frontend,59a26665995329251ddad837c0c4cf5e9ecdd0d6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,e1413ef27ac7884070ecf8a6fd0ceb2fb704f882,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7bb6be07731d5a4639acd0e9dec6df5e1a87bbc5,copilot-pr
TypeScript,pancakeswap/pancake-frontend,fd7a96a36e9b8d961addda39abee9fd62d638536,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ffedd70e97a07cf8f03bc76e669fb3637262cf7b,copilot-pr
TypeScript,pancakeswap/pancake-frontend,25bd3a6bae2811ca8a8b4319de64b3076773205f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ac6ef44db880b1689a0669d82719d58996da3ca1,copilot-pr
TypeScript,pancakeswap/pancake-frontend,63bb02a0421a204ebe32693a71293598eebffacf,copilot-pr
TypeScript,pancakeswap/pancake-frontend,3bda77beeb8c2484d9fca646df1178e5c937fea3,copilot-pr
TypeScript,pancakeswap/pancake-frontend,02332a804c2aea03cae324cc0e0216fb04d4dc13,copilot-pr
TypeScript,pancakeswap/pancake-frontend,46cacede58ba9faf561ab70107c98d819cedfc35,copilot-pr
TypeScript,pancakeswap/pancake-frontend,5d8abad1ac7b64908f21495a44cb5a34626150cb,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b1db0cc1e9225bb70961953e97c24386eef88f81,copilot-pr
TypeScript,pancakeswap/pancake-frontend,2334ddff9f848b85cdca3aaf74b44dc9b9b0bdb6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,393905e8df17a28f0545e5e3180bb398d757507c,copilot-pr
TypeScript,pancakeswap/pancake-frontend,77d7ce224beb179eb30c06912414b1338875d1b3,copilot-pr
TypeScript,pancakeswap/pancake-frontend,a52543a4da9e9d0a37f0535bc4b4b3a80e746241,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4038b921675d1761e8caac9e1b39d4ba68c50143,copilot-pr
TypeScript,pancakeswap/pancake-frontend,bc3fa0dd4a0780f8dbd6b6fc01e942a52718ff32,copilot-pr
TypeScript,pancakeswap/pancake-frontend,64a5b947111335a849bbbd06cab214142e1413f2,copilot-pr
TypeScript,pancakeswap/pancake-frontend,54da61147e9291f1afdc73cc3259bd43f07bc3a8,copilot-pr
TypeScript,pancakeswap/pancake-frontend,dbcee4ce33ad657e721e789d3f685b6e1aed4bd5,copilot-pr
TypeScript,pancakeswap/pancake-frontend,757c6d45e91954f5bb4c0e2143777385f252c4ff,copilot-pr
TypeScript,pancakeswap/pancake-frontend,52a0212d1e0eb670ff7062e2f3565a0bee0bcb4d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,3c56d08317673e6576daf33e612ed7325ed1b7ac,copilot-pr
TypeScript,pancakeswap/pancake-frontend,19eff8951748a85f9de8c2f36f08951e9d225329,copilot-pr
TypeScript,pancakeswap/pancake-frontend,db049bc0738dd5c70bdc5634087c71cd6947ace3,copilot-pr
TypeScript,pancakeswap/pancake-frontend,965654bc42937941528bdffa1526b2f839dfc8dc,copilot-pr
TypeScript,pancakeswap/pancake-frontend,3e855b31bd7cc2c73c898d4b8c86175154ec0a8f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b22c68c5f06a622ae43f5fc8bbb7e5b6fe02d524,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cb5cb66494f0231e7ee9b0704434e856eeb918b8,copilot-pr
TypeScript,pancakeswap/pancake-frontend,99a7b168ae3f032cdcae8c0bc17b34c7c67b1abf,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4e992a1325da53b8c0bcc17f7f12857da3aa2a67,copilot-pr
TypeScript,pancakeswap/pancake-frontend,f71904c2624cc68cf6a9249442e5fdbf2847012f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,8e99546fb4d48166ffc62191e01ce5072fe31bd2,copilot-pr
TypeScript,pancakeswap/pancake-frontend,f470d6297da39a36a7ad7771c62d25bd23f6e7a8,copilot-pr
